id,title,vote_average,vote_count,release_date,year,month,genre_ids,original_language,popularity
907,Doctor Zhivago,7.5,1065,1965-12-22,1965,12,"[18, 10749, 10752]",en,27.819
13187,A Charlie Brown Christmas,7.7,635,1965-12-09,1965,12,"[16, 10751, 35, 10770]",en,18.189
11481,Repulsion,7.437,922,1965-06-01,1965,06,"[18, 53, 27]",en,16.786
2786,Pierrot le Fou,7.431,797,1965-11-05,1965,11,"[18, 10749, 80]",fr,16.27
25866,The Sucker,7.367,620,1965-03-24,1965,03,"[35, 80]",fr,15.862
429,"The Good, the Bad and the Ugly",8.465,8111,1966-12-22,1966,12,[37],it,77.758
1714,Fahrenheit 451,7.116,895,1966-09-07,1966,09,"[18, 878]",en,30.919
8290,Don't Look Now... We're Being Shot At!,7.9,1266,1966-12-08,1966,12,"[35, 10752]",fr,26.191
797,Persona,8.2,1998,1966-10-18,1966,10,[18],sv,23.944
1052,Blow-Up,7.4,1157,1966-12-18,1966,12,"[18, 9648, 53]",en,22.5
10772,Django,7.219,845,1966-04-06,1966,04,"[28, 37]",it,22.498
13377,How the Grinch Stole Christmas!,7.478,953,1966-12-18,1966,12,"[16, 10751, 35]",en,21.753
2661,Batman,6.33,811,1966-07-30,1966,07,"[28, 35, 80]",en,20.566
396,Who's Afraid of Virginia Woolf?,7.725,756,1966-06-22,1966,06,[18],en,20.42
895,Andrei Rublev,8.037,737,1966-12-16,1966,12,"[18, 36]",ru,19.33
5780,Torn Curtain,6.6,546,1966-07-15,1966,07,[53],en,19.187
17295,The Battle of Algiers,7.869,694,1966-09-08,1966,09,"[18, 10752, 36]",it,18.041
3001,How to Steal a Million,7.471,551,1966-07-13,1966,07,"[35, 80, 10749]",en,13.353
9325,The Jungle Book,7.284,5967,1967-10-18,1967,10,"[10751, 16, 12]",en,63.541
667,You Only Live Twice,6.57,2047,1967-06-13,1967,06,"[28, 53, 12]",en,40.188
649,Belle de Jour,7.397,817,1967-05-24,1967,05,"[18, 10749]",fr,37.889
903,Cool Hand Luke,7.7,1318,1967-11-01,1967,11,"[80, 18]",en,27.802
1654,The Dirty Dozen,7.593,1126,1967-06-15,1967,06,"[28, 12, 10752]",en,26.213
12208,Casino Royale,5.3,681,1967-04-13,1967,04,"[12, 28, 35]",en,25.244
37247,The Graduate,7.7,3146,1967-12-21,1967,12,"[35, 18, 10749]",en,25.15
10633,In the Heat of the Night,7.6,980,1967-08-02,1967,08,"[80, 18, 9648, 53]",en,23.869
2433,The Young Girls of Rochefort,7.657,554,1967-03-08,1967,03,"[10749, 35, 18]",fr,23.243
475,Bonnie and Clyde,7.492,1505,1967-08-14,1967,08,"[80, 18]",en,22.363
1879,Guess Who's Coming to Dinner,7.572,769,1967-12-11,1967,12,"[18, 35, 10749]",en,21.486
11047,Asterix the Gaul,6.443,681,1967-12-20,1967,12,"[10751, 16, 12, 35]",fr,20.925
5511,Le Samouraï,7.813,950,1967-10-25,1967,10,"[80, 53, 18]",fr,20.003
10227,PlayTime,7.743,523,1967-12-16,1967,12,[35],fr,19.383
3053,Dance of the Vampires,6.973,692,1967-11-13,1967,11,"[35, 27]",en,15.543
17887,Barefoot in the Park,7.115,544,1967-05-25,1967,05,"[35, 10749]",en,11.033
62,2001: A Space Odyssey,8.075,10928,1968-04-02,1968,04,"[878, 9648, 12]",en,74.28
871,Planet of the Apes,7.653,3228,1968-02-07,1968,02,"[878, 12, 18, 28]",en,48.57
335,Once Upon a Time in the West,8.289,4068,1968-12-21,1968,12,"[18, 37]",it,47.488
10331,Night of the Living Dead,7.62,2279,1968-10-04,1968,10,"[27, 53, 878]",en,41.279
11046,Where Eagles Dare,7.55,831,1968-12-04,1968,12,"[28, 12, 10752]",en,33.264
10794,The Party,7.297,708,1968-04-04,1968,04,[35],en,29.207
4929,Hang 'em High,6.836,703,1968-04-12,1968,04,[37],en,28.601
11708,Chitty Chitty Bang Bang,6.8,615,1968-12-17,1968,12,"[10751, 10402, 12, 14, 35]",en,26.221
8069,Barbarella,5.987,669,1968-10-10,1968,10,"[878, 12, 35, 14]",en,25.814
916,Bullitt,7.16,1037,1968-10-17,1968,10,"[28, 80, 53, 10749, 18]",en,25.017
805,Rosemary's Baby,7.8,3679,1968-06-12,1968,06,"[18, 27, 53]",en,22.016
6003,Romeo and Juliet,7.36,630,1968-04-02,1968,04,"[18, 10749]",en,21.345
30197,The Producers,7.092,714,1968-03-18,1968,03,[35],en,20.525
14136,The Love Bug,6.537,548,1968-12-23,1968,12,"[35, 10751, 14]",en,17.799
9929,Asterix and Cleopatra,6.917,888,1968-12-19,1968,12,"[10751, 16, 12, 35]",fr,15.956
11356,The Odd Couple,7.507,542,1968-05-16,1968,05,[35],en,15.456
4729,The Gendarme Gets Married,6.5,528,1968-10-30,1968,10,[35],fr,13.276
668,On Her Majesty's Secret Service,6.595,1756,1969-12-18,1969,12,"[12, 28, 53]",en,37.244
10536,The Italian Job,7.0,683,1969-06-02,1969,06,"[28, 80, 35, 53]",en,29.75
3116,Midnight Cowboy,7.518,1285,1969-05-25,1969,05,[18],en,27.919
576,The Wild Bunch,7.6,1105,1969-06-19,1969,06,[37],en,24.398
642,Butch Cassidy and the Sundance Kid,7.609,2060,1969-01-15,1969,01,[37],en,22.139
17529,True Grit,7.4,733,1969-06-11,1969,06,[37],en,20.906
624,Easy Rider,7.076,1852,1969-06-26,1969,06,"[12, 18]",en,20.37
15383,Army of Shadows,8.0,578,1969-09-10,1969,09,"[10752, 18, 36]",fr,11.283
11485,Take the Money and Run,7.118,709,1969-08-18,1969,08,"[35, 80]",en,10.783
10112,The Aristocats,7.3,4785,1970-12-24,1970,12,"[16, 35, 10751, 12]",en,57.792
1685,Beneath the Planet of the Apes,6.193,1179,1970-04-23,1970,04,"[12, 878, 9648]",en,29.809
11916,Two Mules for Sister Sara,6.9,525,1970-03-02,1970,03,[37],en,28.26
9394,They Call Me Trinity,7.6,1240,1970-12-22,1970,12,"[28, 35, 37]",it,26.594
11202,Patton,7.507,1016,1970-01-25,1970,01,"[10752, 18, 36]",en,26.148
11589,Kelly's Heroes,7.365,673,1970-06-22,1970,06,"[12, 35, 10752]",en,25.275
9062,Love Story,6.787,649,1970-12-16,1970,12,"[10749, 18]",en,23.427
11165,Tora! Tora! Tora!,7.163,504,1970-01-26,1970,01,"[18, 36, 10752]",en,23.07
8416,The Conformist,7.68,614,1970-07-01,1970,07,[18],it,15.114
11040,Little Big Man,7.5,575,1970-12-14,1970,12,"[12, 37, 35, 18]",en,15.05
651,M*A*S*H,6.977,961,1970-02-18,1970,02,"[35, 18, 10752]",en,14.513
26451,Investigation of a Citizen Above Suspicion,8.197,727,1970-10-16,1970,10,"[18, 53]",it,13.74
20345,The Bird with the Crystal Plumage,7.195,704,1970-02-27,1970,02,"[27, 9648, 53]",it,13.359
11657,Le Cercle Rouge,7.6,579,1970-10-19,1970,10,"[53, 80, 18]",fr,11.897
13041,El Topo,7.1,551,1970-12-18,1970,12,"[28, 12, 18, 37]",es,11.628
252,Willy Wonka & the Chocolate Factory,7.498,3338,1971-06-29,1971,06,"[10751, 14, 35]",en,75.794
185,A Clockwork Orange,8.208,12317,1971-12-19,1971,12,"[878, 80]",en,55.992
681,Diamonds Are Forever,6.396,1965,1971-12-14,1971,12,"[28, 53]",en,34.652
984,Dirty Harry,7.46,2303,1971-12-23,1971,12,"[28, 80, 53]",en,30.157
1687,Escape from the Planet of the Apes,6.323,953,1971-05-20,1971,05,"[28, 878]",en,28.786
839,Duel,7.43,1731,1971-11-13,1971,11,"[28, 53, 10770]",en,27.203
14811,Fiddler on the Roof,7.692,527,1971-11-03,1971,11,"[18, 10749]",en,26.974
12481,The Big Boss,7.124,695,1971-10-03,1971,10,[28],zh,26.643
11302,Bananas,6.7,690,1971-04-28,1971,04,[35],en,23.918
12335,Bedknobs and Broomsticks,7.046,909,1971-10-07,1971,10,"[12, 14, 35, 10751, 10402, 16]",en,23.821
336,"Duck, You Sucker",7.711,993,1971-10-20,1971,10,[37],it,21.349
25188,The Last Picture Show,7.638,625,1971-10-03,1971,10,[18],en,21.312
11234,The Omega Man,6.167,508,1971-08-01,1971,08,"[878, 28]",en,21.291
1051,The French Connection,7.538,1705,1971-10-09,1971,10,"[28, 80, 53]",en,20.758
10514,The Andromeda Strain,7.065,647,1971-03-12,1971,03,"[878, 53]",en,19.483
994,Straw Dogs,7.15,881,1971-11-25,1971,11,"[18, 53]",en,18.966
343,Harold and Maude,7.6,1012,1971-12-20,1971,12,"[35, 18, 10749]",en,18.172
636,THX 1138,6.5,882,1971-03-11,1971,03,"[878, 28, 18]",en,17.831
11829,Trinity Is Still My Name,7.4,849,1971-10-21,1971,10,"[35, 37]",it,16.535
14257,Delusions of Grandeur,7.437,653,1971-12-08,1971,12,"[35, 36]",fr,14.195
238,The Godfather,8.695,19535,1972-03-14,1972,03,"[18, 80]",en,135.603
9462,The Way of the Dragon,7.379,1066,1972-06-01,1972,06,"[28, 80]",cn,36.837
11713,Fist of Fury,7.263,877,1972-03-22,1972,03,"[18, 28, 53]",zh,34.249
