,id,title,vote_average,year,month,genre_ids,budget,revenue,runtime,director_id,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science_Fiction,Thriller,War,Western
38,11576,"It's a Mad, Mad, Mad, Mad World",7.0,1963,11,"[28, 12, 35]",9400000.0,60000000.0,197,4081,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,657,From Russia with Love,7.077,1963,10,"[28, 53, 12]",2500000.0,78900000.0,115,9855,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40,8095,Cleopatra,7.1,1963,6,"[18, 36, 10749]",44000000.0,71000000.0,248,10601,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
41,9078,The Sword in the Stone,7.255,1963,12,"[16, 10751, 14]",3000000.0,22200000.0,79,57314,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
42,936,The Pink Panther,6.9,1963,12,"[35, 80]",,10878107.0,115,1927,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43,5925,The Great Escape,7.9,1963,7,"[12, 18, 36, 53, 10752]",4000000.0,11700000.0,173,14520,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
44,571,The Birds,7.525,1963,3,[27],2500000.0,11500000.0,120,2636,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
45,11533,Jason and the Argonauts,7.145,1963,6,"[12, 10751, 14]",3000000.0,2100000.0,104,25558,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
46,422,8½,8.163,1963,2,[18],,,139,4415,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
47,4808,Charade,7.686,1963,12,"[35, 9648, 10749]",4000000.0,13475000.0,113,13284,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
48,12493,High and Low,8.3,1963,3,"[18, 80, 53, 9648]",250000.0,,142,5026,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
49,11772,The Haunting,7.128,1963,8,[27],,,112,1744,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50,1040,The Leopard,7.715,1963,3,[18],,,186,15127,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
